高中英语单词表
boss  n.老板，上司 vt.指挥，控制，发号施令 
borrow  vt.借，借入；(思想、文字等)采用，抄袭 
born  a.出生的，产生的；天生的，十足的 
boring  a.令人厌倦的，使人厌烦的 n.钻孔，打孔 
bored  a.厌烦的，厌倦的 
border  n.边，边缘；边界，国界 vi.和…接界；近似 
boot  n.靴；(汽车后部的)行李箱；[the-]解雇 
bookstore  n.(=bookshop)书店 
bookshop  (=bookstore) n.书店 
bookseller  n.售书员；书商 
bookmark  *n.书签 
book  n.书，书籍 vt.订(票，座位，房间等)，预定 
bomb  n.炸弹；原子弹；核弹 vt.爆炸；投炸弹 
bold  a.果敢的，冒险的，无畏的；冒失的，鲁莽的 
boiling  a.热到沸点的；激昂的 
boil  v.沸腾；(水)开；使沸腾；用开水煮 
body-building  *健身；健美 
body  n.身体，躯体；车身，船身；正文，主要部分 
boating  n.划船(游玩) 
boat  n.小船，艇；船形物 vi.划船 
board  n.板，木板，纸板；董事会 vt.上船/车/飞机 
blue  a.蓝色的;青灰色的；沮丧的,阴郁的 n.蓝色 
blow  vi.吹，吹气，打气；爆炸，爆裂 n.打，打击 
blouse  n.女衬衣，短上衣，宽阔的罩衫 
blood  n.血液，血；血统，血亲；血气 
block  n.大块；一排房屋；街区(四条街中间的区域) 
blind  a.盲的，瞎的；盲目的 vt.使失明 n.百叶窗 
bless  v.有幸得到，有幸具有；为...祈求上帝赐福 
bleed  v.(使)流血；从…取血；从…抽取液体或空气 
blanket  n.毯子(可数)；厚厚一层(可数) vt.铺上一层 
blank  a.空白的，空着的；无表情的 n.空白；表格 
blame  vt.责备，怪，怨；把…归咎于 n.责任；责备 
blackboard  (名)黑板 
black  a.黑(色)的；黑暗的 n.黑(色)；黑暗；黑人 
bitter  a.苦的，痛苦的；寒冷入骨的；有苦味的 
bite  v.咬,叮n.咬,叮；咬的伤口；一口食物 
bit  n.一点，一些，一片；片刻；(电脑)位 
bison  n. (pl.bison或bisons)北美野牛 
biscuit  n.(英)饼干；(美)软饼 
birthplace  n.诞生地；发源地 
birthday  n.生日；(成方)纪念日 
birth  n.出生，诞生；出身，血统；起源；出现 
bird  n.鸟，雀；女人；嘘声 
biology  n.生物学；一个地区的生物 
biologist  n.生物学家 
billion  num.(法、美)十亿；(英、德)百亿；兆；无数 
bill  n.帐单，招贴；议案；钞票 v.宣布...的扮演 
big  a.大的；重要的；宽宏大量的；大受欢迎的 
bicycle  n.自行车 vi.骑自行车 
beyond  prep.在(或向)...的那边，远于；迟于；超出 
between  prep.在…之间，在(两者)之间 ad.在中间 
better  a.较好的；更好的；(健康状况)有所好转的 
best-seller  n.畅销书(货) 
best  a.最好的(good和well最高级) ad.最好地；最 
